ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
ASUS TUF Gaming F15 Core i5 10th Gen,4.4,5280,523,49990,70990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.3,479,50,40400,50585,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/e/i/d/15s-fr2511tu-thin-and-light-laptop-hp-original-imagg59a7s5kymvy.jpeg?q=70
HP Laptop with Backlit Keyboard Core i3 11th Gen,4.5,81,9,41320,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/z/u/15s-fr2512tu-laptop-hp-original-imaggmeygbtemggf.jpeg?q=70
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen,4.6,44,9,52500,66990,Get unparalleled power and reliability with the new Intel 12th Gen CPU,15.6 Inch Full HD OLED 16:9 aspect ratio, 0.2ms response time, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, TUV Rheinland-certified,Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/b/q/-original-imaghsggzmjg7qgn.jpeg?q=70
ASUS Vivobook 15 Core i5 11th Gen,4.2,276,25,47990,69990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
Lenovo IdeaPad Ryzen 5 Hexa Core 5600H,4.4,525,69,48990,86690,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
ASUS VivoBook 14 Core i3 12th Gen,4,45,7,47990,57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/b/w/-original-imagg6t9sb9gvafu.jpeg?q=70
Lenovo Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,4.2,276,25,33890,48490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/t/7/15itl05-thin-and-light-laptop-lenovo-original-imagheh5nvy6gq9k.jpeg?q=70
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,4.4,2412,322,49990,72990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,3770,337,40990,50696,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
HP 15s Intel Core i3 12th Gen,4.3,228,31,44990,56260,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/6/1/15s-fq5007tu-thin-and-light-laptop-hp-original-imagkwj68xgexkhy.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,12850,1900,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70
ASUS Vivobook 14 (2022) Core i3 12th Gen,4.2,47,6,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/2/t/-original-imagg6t9xpv4rr8v.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,1301,100,45490,54552,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
ASUS Vivobook 15 Touch Core i5 11th Gen,4.3,174,17,51990,74990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/3/c/s/-original-imagf35fjbjagyax.jpeg?q=70
ASUS Vivobook 15 Core i7 11th Gen,4.2,207,24,56990,80990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/q/o/-original-imag7wjdg4dvcdya.jpeg?q=70
